;;;Telefone
55;11;995895628;5511995895628
55;11;999114348;5511999114348
55;11;992285212;5511992285212
55;11;960760572;5511960760572
55;11;984057917;5511984057917
55;11;998080376;5511998080376
55;11;963600431;5511963600431
55;11;991919007;5511991919007
55;31;997234241;5531997234241
55;11;972043004;5511972043004
55;11;996471884;5511996471884
55;11;945550639;5511945550639
55;11;986438356;5511986438356
55;11;982795679;5511982795679
55;51;995027323;5551995027323
55;11;981417881;5511981417881
55;11;982082404;5511982082404
55;31;971808907;5531971808907
55;11;994542777;5511994542777
55;11;960760572;5511960760572
55;11;958800804;5511958800804
55;11;976263680;5511976263680
55;11;960308323;5511960308323
55;11;997900363;5511997900363
55;11;988404832;5511988404832
55;11;969130580;5511969130580
55;73;999383872;5573999383872
55;11;930019744;5511930019744
55;11;996474966;5511996474966
55;11;972964396;5511972964396
55;11;985544611;5511985544611
55;11;991599185;5511991599185
55;11;994859119;5511994859119
55;11;981019524;5511981019524
