;;;Celular
55;81;987053622;5581987053622
55;81;987052622;5581987052622
55;54;996673785;5554996673785
55;49;988299414;5549988299414
55;47;996665941;5547996665941
55;45;999647777;5545999647777
55;21;982849900;5521982849900
55;19;998992349;5519998992349
55;19;994289647;5519994289647
55;19;991963522;5519991963522
55;15;999784162;5515999784162
55;15;999633439;5515999633439
55;15;998551348;5515998551348
55;15;998496308;5515998496308
55;15;998417481;5515998417481
55;15;998416725;5515998416725
55;15;998409897;5515998409897
55;15;998316806;5515998316806
55;15;998316806;5515998316806
55;15;998162642;5515998162642
55;15;998145929;5515998145929
55;15;998132581;5515998132581
55;15;998109299;5515998109299
55;15;998100636;5515998100636
55;15;998073257;5515998073257
55;15;998061578;5515998061578
55;15;998004188;5515998004188
55;15;997995748;5515997995748
55;15;997988038;5515997988038
55;15;997988038;5515997988038
55;15;997986270;5515997986270
55;15;997976930;5515997976930
55;15;997954376;5515997954376
55;15;997948479;5515997948479
55;15;997909142;5515997909142
55;15;997901553;5515997901553
55;15;997892953;5515997892953
55;15;997885059;5515997885059
55;15;997880544;5515997880544
55;15;997873565;5515997873565
55;15;997860582;5515997860582
55;15;997849857;5515997849857
55;15;997845864;5515997845864
55;15;997837508;5515997837508
55;15;997820306;5515997820306
55;15;997818621;5515997818621
55;15;997818484;5515997818484
55;15;997789211;5515997789211
55;15;997788959;5515997788959
55;15;997780942;5515997780942
55;15;997770704;5515997770704
55;15;997728881;5515997728881
55;15;997715933;5515997715933
55;15;997714373;5515997714373
55;15;997713329;5515997713329
55;15;997701569;5515997701569
55;15;997688353;5515997688353
55;15;997607412;5515997607412
55;15;997590159;5515997590159
55;15;997541883;5515997541883
55;15;997514193;5515997514193
55;15;997505878;5515997505878
55;15;997480476;5515997480476
55;15;997458068;5515997458068
55;15;997439931;5515997439931
55;15;997423762;5515997423762
55;15;997423762;5515997423762
55;15;997416353;5515997416353
55;15;997412478;5515997412478
55;15;997399720;5515997399720
55;15;997398856;5515997398856
55;15;997387032;5515997387032
55;15;997322851;5515997322851
55;15;997318010;5515997318010
55;15;997302606;5515997302606
55;15;997281985;5515997281985
55;15;997278058;5515997278058
55;15;997272630;5515997272630
55;15;997260044;5515997260044
55;15;997248681;5515997248681
55;15;997243462;5515997243462
55;15;997206306;5515997206306
55;15;997196274;5515997196274
55;15;997188729;5515997188729
55;15;997176471;5515997176471
55;15;997168099;5515997168099
55;15;997162411;5515997162411
55;15;997152868;5515997152868
55;15;997149932;5515997149932
55;15;997147343;5515997147343
55;15;997122610;5515997122610
55;15;997112350;5515997112350
55;15;997103219;5515997103219
55;15;997089418;5515997089418
55;15;997084783;5515997084783
55;15;997081257;5515997081257
55;15;997036332;5515997036332
55;15;997015215;5515997015215
55;15;996962959;5515996962959
55;15;996924920;5515996924920
55;15;996886460;5515996886460
55;15;996880779;5515996880779
55;15;996879382;5515996879382
55;15;996870070;5515996870070
55;15;996833356;5515996833356
55;15;996829021;5515996829021
55;15;996781953;5515996781953
55;15;996781953;5515996781953
55;15;996776751;5515996776751
55;15;996712434;5515996712434
55;15;996711411;5515996711411
55;15;996692293;5515996692293
55;15;996625630;5515996625630
55;15;996622659;5515996622659
55;15;996569534;5515996569534
55;15;996523220;5515996523220
55;15;996510555;5515996510555
55;15;996440682;5515996440682
55;15;996425613;5515996425613
55;15;996425613;5515996425613
55;15;996363570;5515996363570
55;15;996360608;5515996360608
55;15;996360608;5515996360608
55;15;996346555;5515996346555
55;15;996320547;5515996320547
55;15;996319894;5515996319894
55;15;996313281;5515996313281
55;15;996289139;5515996289139
55;15;996277849;5515996277849
55;15;996241769;5515996241769
55;15;996225247;5515996225247
55;15;996191284;5515996191284
55;15;996187977;5515996187977
55;15;996182219;5515996182219
55;15;996164688;5515996164688
55;15;996162736;5515996162736
55;15;996137721;5515996137721
55;15;996135989;5515996135989
55;15;996127234;5515996127234
55;15;996124128;5515996124128
55;15;996112380;5515996112380
55;15;996090223;5515996090223
55;15;996087735;5515996087735
55;15;996064998;5515996064998
55;15;996059548;5515996059548
55;15;996056585;5515996056585
55;15;996046189;5515996046189
55;15;996045424;5515996045424
55;15;996018952;5515996018952
55;15;992717700;5515992717700
55;15;991829056;5515991829056
55;15;991758313;5515991758313
55;15;991492458;5515991492458
55;15;991386502;5515991386502
55;15;991339539;5515991339539
55;15;991232267;5515991232267
55;15;991187431;5515991187431
55;15;991142045;5515991142045
55;15;991016401;5515991016401
55;15;988033326;5515988033326
55;15;988014375;5515988014375
55;15;981530083;5515981530083
55;15;981451417;5515981451417
55;15;981354437;5515981354437
55;15;981354432;5515981354432
55;15;981345167;5515981345167
55;15;981305519;5515981305519
55;15;981298761;5515981298761
55;15;981228855;5515981228855
55;15;981210156;5515981210156
55;15;981194192;5515981194192
55;15;981168200;5515981168200
55;15;981150997;5515981150997
55;15;981117336;5515981117336
55;15;981037513;5515981037513
55;15;981037513;5515981037513
55;14;997694353;5514997694353
55;14;996960670;5514996960670
55;14;996960670;5514996960670
55;14;996960670;5514996960670
55;12;981168459;5512981168459
55;11;998701577;5511998701577
55;11;998098403;5511998098403
55;11;997186660;5511997186660
55;11;996862599;5511996862599
55;11;996441006;5511996441006
55;11;996356634;5511996356634
55;11;987228556;5511987228556
55;11;982152594;5511982152594
55;11;972291800;5511972291800
55;11;971697160;5511971697160
55;11;964036485;5511964036485
55;11;962035208;5511962035208
55;11;969112197;5511969112197
55;15;972291800;5515972291800
55;11;972488511;5511972488511
55;15;981197588;5515981197588
55;15;981235696;5515981235696
55;15;981320032;5515981320032
55;15;981368828;5515981368828
55;14;981675577;5514981675577
55;14;981675577;5514981675577
55;15;981756358;5515981756358
55;15;981858868;5515981858868
55;19;981909863;5519981909863
55;15;988089208;5515988089208
55;11;989268642;5511989268642
